union_name,union_category,tag,union_introduction
오랑캐,마케팅,"마케팅, 포트폴리오, 콘텐츠, SNS","안녕하세요!! XD.
🐵전국대학연합 마케팅 클럽 ‘오랑캐’🐵에서 4기 신입 크루를 모집합니다.

🏅네임드🏅후원사들과 실무 연계 위주로 진행하던 비공개 마케팅 프로젝트 프로그램 '오랑캐'가 1, 2기(4개 후원사, 5개 대학 한정 비공개 형태)를 거쳐 올해부터 전격적인 전국대학연합 동아리, 클럽 형태로 전환, 신입 크루를 모집합니다.

3기를 통해 결산 리포트에 추가된 24개의 대학과 함께하는 우수한 크루들과 활동을 진행하고,
TO 마감으로 인한 리크루팅 중단 이후, 드디어 돌아온 오랑캐🔥
마케팅에 관심이 있다면 주차별로 진행되는 끈끈하고 체계적인 🔥마케팅 분야 전국 최강의 대학연합 클럽, 오랑캐🔥의 크루가 되어주세요!

오랑캐와 함께 마케팅 실무 과정에 대한 경험과 스펙을! 말로만 우리끼리 떠들고 서로 칭찬하는 학회/동아리 형태가 아닌 👨‍👩‍👦‍👦진짜 소비자👨‍👩‍👦‍👦 대중들이 그 '숫자' 로 나타나는 실질적인 마케팅 포트폴리오를!

마케팅 분야로 본인의 커리어를 시작하고자 하는, 마케팅에 진심인 분과 함께 합니다.😊"
야걷자,친목,"친목, 걷기","<소소한 일상에서, 가벼운 발걸음>

선선해지는 가을🍂🍂
학교 가느라 바쁘고 공부하느라 정신없이 지나보니 어...늘어나 있는 몸무게?!🤨
어, 너두?🫵 야, 나두!🙋‍♂️🙋‍♀️
살만 찌울 수는 없으니 산책하며 운동도 하고 친구도 만들고 스트레스도 푸는 1석 3조 야걷자!
"
농성회,스포츠,"농구, 번개","입학은 했는데,😕
동아리는 다양한데,🙁
새로운 친구들은 사귀고 싶은데,☹️

어느 동아리에 가야 대학생활을 즐겁게 보낼 수 있을지 고민이 된다면🤨⁉️

편하고 가족 같은 분위기 속에서 즐기면서 함께 농구를 할 수 있는 중앙 농구 동아리 “농성회”로 오세요🥰!

🏀'농성회'는 성균관대 중앙 농구 동아리이고, 농구 실력과 관계없이 모두가 지원할 수 있으니 부담 없이 편하게 지원해 주세용~😉"
음취헌,음악,"음악, 감상, 클래식, 연주회","안녕하세요! 성균관대학교 고전음악감상동아리 🤍음취헌🤍입니다. 현재 2023학년도 2학기 신입부원을 모집하고 있습니다😊

고전음악감상동아리 음취헌은 1988년도에 설립되어 자그마치 35년의 역사를 자랑하는 동아리입니다. 음취헌은 ‘음’악에 ‘취’한 ‘헌(軒 집 헌)’이라는 의미가 담겨있으며 회원들이 들러서 클래식 음악을 감상하고 휴식을 취할 수 있는 공간이자 고전음악을 좋아하는 사람들이 함께 모여 이야기를 나눌 수 있는 동아리입니다.

음취헌의 동방은 💫율전 학생회관 03203💫에 있습니다. 음취헌이 율전에 동방을 두고 있긴 하나 클래식 음악을 사랑하는 성균관대 학우라면 율전ㆍ명륜 상관없이 누구나 환영합니다! 명륜 소속 학우분들도 여럿 계시고 부회장도 명륜인이랍니다"
엔딩크레딧,문화생활,"영화, 매거진, SNS","엔딩크레딧은 연세대학교와 성균관대학교 학생들이 모여 시작한 대학생 독립 영화잡지 동아리입니다.

2018년 초 창간호를 발간한 뒤, 기성 주류 잡지와 달리 20대의 우리에게 가까운, 공감과 소통 가능한 잡지출간을 지향합니다.

이번 13호 잡지 <이상>을 함께 만들어갈 멤버를 모집합니다!"
스프링,발표,"스피치, 발표","2009년에 시작된 SPLing은🔸Speech, Presentation, Link🔸의 약자로 발표에 관심을 가지고 있고, 자신의 변화를 외치는 대학생들이 모인 동아리입니다.

🌺 16주간의 커리큘럼을 통해 다양한 주제의 발표와 프레젠테이션 관련 수업이 진행됩니다. 💁👨‍🏫

또한, 발표 실력 뿐만이 아닌 사람들과의 친목도 다지며 값진 성장과 변화를 경험하실 수 있습니다"
UNIT,스포츠,"레저스포츠, 친목","01. ‘하나’🤝라는 의미를 표방하는 대규모의 수도권 대학 연합 레저스포츠 동아리입니다.
02. 회원 간의 친목도모🍺와 건전한 대학 놀이 문화의 정착🎳이라는 슬로건을 지향합니다.
03. 한 학기 ⁉️400-500명⁉️ 정도의 대규모 동아리인 만큼 여러 사람들과 친해질 수 있습니다.
04. 36년🙀 동안 체계적인 시스템 아래 오랜 시간동안 안정적으로 운영되어 왔습니다.
05. 🎳볼링장과의 계약 및 단체 예약으로 저렴하게 레저스포츠 활동을 즐길 수 있습니다.✨✨"
한바탕,음악,"풍물패, 국악","안녕하세요! 대학연합 풍물패 한바탕 입니다‼️
한바탕은 풍물을 사랑하는 대학생들이 모여 2020년 8월 설립한 풍물패입니다! 풍물, 국악에 관심있는 대학생이라면 모두 환영합니다! 2학기는 한바탕과 함께해요 ❤️"
KITE,영어회화,"영어회화, 교환학생","교환학생들과 영어로 떠드는 동아리
KITE(Korean and Internationals Talking in English)에서 부원을 모집합니다!

부원 비율은 한국인 : 교환학생 1대 1로 유지될 예정이며, 선착순 140명을 모집할 예정입니다. 저번 학기에는 1주일만에 200명 이상의 지원자가 몰렸기 때문에 빠른 지원 부탁드립니다!
매주 화요일 부원 모두가 참여할 수 있는 큰 이벤트가 열리며, 매주 8명 규모의 써클 단위로 만나게 됩니다. 두 모임 중 한 가지는 매주 참석해야 합니다."
리듬오브호프,봉사,"미디어, 봉사, 시나리오, 디자인, 촬영, 편집, 작곡","우리 주변 복지 사각지대에 놓여 있는 소외된 이웃들을 돕고자 다섯 파트의 재능이 모였습니다.

대학연합 미디어봉사동아리 <리듬오브호프>는 외부 기관에서 전달받은 사례를 바탕으로 소개글, 포스터, 영상 등 각종 미디어 모금 콘텐츠를 제작하여 모금 활동을 지원합니다.

다섯 파트가 서로 협력하여 제작한 온라인 모금 콘텐츠로 세상에 따뜻함을 전하는 미디어봉사동아리, <리듬오브호프>와 함께할 23-2 신입 리드미를 모집합니다."
쌍투스코러스,음악,"노래, 합창","노래를 좋아한다!
사람을 좋아한다!
인생 동아리를 찾고 싶다!
학교 생활이 노잼이다!
2학기엔 다양한 사람들과 새로운 추억을 쌓아보고 싶다!

바로 이 글을 보고 있는 당신을 위해!!!!

since 1971
국내 유일무이 대학연합쇼콰이어 합창단
쌍투스코러스의 2023년 반짝오디션이 찾아왔습니다!!"
겨레랑,역사,"역사, 전시회","이런 사람 환영!역사 잘 몰라도 괜찮아!
우리 겨레의 아픔에 공감하는 마음만 있다면!
토론으론 부족해! 기행으로 직접 보고, 배운 것을 컨텐츠로 만들고 싶은 당신!
배운 것을 실천하자! 매월 넷째주 일요일 서울소재 소녀상 청소 봉사활동 어때?(봉사시간 지급)
누구나 편하게 연락주세요^^"
루바토,음악,"피아노, 멘토링",피아노 동아리(소모임) 활동을 하고 싶으신 분이라면 누구나 참여할 수 있도록 멘토 멘티 형식으로 진행하는 동아리입니다. 멘토:멘티 = 1:n (조 단위)로 짝을 지어 간단한 피드백을 하고 꾸준히 연습하여 각자가 선정한 곡을 완주할 수 있도록 합니다.
라임라이트,연극,"연극, 연기","라임라이트는 1987년도에 창설되어 서울대와 이화여대등의 서울권 대학을 중심으로 활동하는 연합연극동아리입니다.
1988년 2월 '오해'라는 첫 연극 작품을 무대에 올림을 시작으로 36년간 67회의 정기공연과 학기별 워크샵 공연을 극장에서 올리며 선후배간의 끈끈한 유대감 속에 체계적인 연극활동을 이어나가고 있습니다."
